Id,OverallScore
1,86.934
2,88.023
3,78.053
4,90.914
5,85.738
6,84.025
7,75.356
8,83.569
9,86.803
10,84.309
11,88.921
12,94.610
13,79.403
14,91.372
15,91.642
16,87.417
17,87.734
18,86.090
19,87.279
20,87.997
21,87.076
22,82.697
23,84.736
24,89.496
25,85.350
26,89.781
27,80.582
28,93.023
29,81.697
30,88.389
31,83.274
32,90.162
33,90.291
34,74.475
35,79.742
36,73.605
37,86.089
38,94.555
39,94.379
40,82.866
41,71.296
42,80.423
43,80.730
44,97.306
45,90.166
46,90.844
47,89.492
48,85.571
49,90.638
50,91.548
51,91.668
52,91.255
53,86.699
54,87.688
55,97.353
56,87.179
57,68.262
58,80.818
59,82.531
60,84.144
61,89.591
62,86.769
63,83.364
64,84.034
65,91.042
66,96.897
67,79.106
68,84.326
69,88.461
70,87.393
71,73.616
72,73.202
73,83.064
74,85.731
75,91.892
76,84.078
77,96.351
78,88.761
79,90.855
80,88.113
81,83.519
82,91.608
83,81.850
84,90.385
85,84.067
86,91.614
87,85.992
88,88.822
89,70.857
90,92.213
91,80.852
92,90.263
93,85.706
94,90.823
95,80.805
96,86.657
97,80.376
98,64.095
99,88.783
100,85.135
101,76.694
102,85.252
103,87.797
104,85.637
105,88.140
106,91.985
107,92.698
108,91.851
109,83.910
110,85.511
111,89.496
112,83.004
113,87.712
114,85.118
115,94.656
116,83.510
117,86.529
118,83.724
119,77.937
120,73.788
121,89.550
122,84.096
123,92.238
124,92.500
125,84.692
126,89.591
127,89.840
128,91.718
129,82.030
130,89.411
131,83.519
132,88.078
133,89.581
134,81.605
135,85.631
136,81.475
137,62.549
138,90.987
139,88.413
140,85.543
141,68.481
142,90.760
143,83.552
144,87.209
145,91.847
146,69.043
147,77.118
148,90.115
149,88.526
150,82.571
151,82.814
152,66.336
153,81.329
154,86.400
155,86.732
156,87.000
157,91.877
158,83.298
159,84.265
160,87.942
161,82.094
162,91.679
163,85.475
164,87.183
165,83.158
166,77.471
167,85.489
168,88.203
169,76.279
170,88.462
171,77.390
172,83.758
173,91.664
174,86.855
175,90.327
176,89.300
177,93.094
178,87.724
179,88.713
180,86.691
181,81.866
182,83.410
183,90.766
184,94.523
185,85.316
186,86.831
187,84.532
188,80.959
189,95.929
190,90.288
191,90.386
192,87.658
193,84.136
194,85.341
195,98.231
196,90.152
197,87.837
198,91.599
199,72.563
200,97.749
201,88.743
202,79.571
203,89.021
204,90.072
205,92.108
206,87.264
207,83.352
208,90.472
209,93.118
210,84.204
211,85.658
212,89.582
213,87.810
214,91.054
215,84.269
216,91.639
217,88.749
218,92.671
219,85.976
220,91.991
221,84.390
222,86.038
223,85.609
224,92.616
225,83.107
226,89.133
227,90.081
228,86.119
229,82.602
230,90.052
231,65.097
232,80.548
233,84.663
234,87.435
235,89.491
236,89.597
237,90.495
238,87.035
239,71.943
240,87.601
241,85.384
242,86.887
243,83.202
244,91.696
245,65.944
246,83.854
247,80.780
248,93.710
249,93.292
250,81.356
251,84.548
252,84.311
253,86.130
254,79.673
255,92.362
256,95.814
257,93.078
258,83.178
259,89.384
260,85.369
261,71.197
262,67.057
263,91.438
264,90.073
265,84.181
266,85.839
267,90.040
268,89.399
269,88.834
270,86.797
271,86.174
272,92.257
273,91.804
274,81.826
275,78.648
276,82.545
277,87.255
278,85.368
279,93.127
280,84.877
281,85.760
282,92.798
283,87.586
284,88.007
285,86.990
286,86.738
287,84.840
288,87.713
289,47.290
290,82.856
291,81.167
292,76.192
293,88.766
294,95.536
295,87.675
296,79.769
297,84.130
298,89.218
299,86.006
300,87.772
301,87.872
302,94.383
303,46.606
304,88.141
305,77.067
306,91.738
307,84.436
308,92.935
309,87.746
310,85.612
311,93.801
312,85.733
313,68.931
314,88.720
315,83.965
316,87.743
317,88.456
318,85.049
319,83.823
320,89.258
321,94.629
322,81.080
323,92.635
324,92.547
325,83.061
326,82.044
327,77.658
328,91.092
329,92.493
330,90.969
331,84.869
332,90.564
333,85.419
334,85.724
335,93.117
336,91.330
337,84.697
338,77.920
339,88.549
340,85.754
341,78.133
342,89.602
343,72.994
344,94.205
345,75.971
346,82.633
347,85.333
348,89.122
349,84.143
350,90.099
351,89.749
352,93.243
353,92.765
354,90.743
355,62.622
356,85.149
357,92.405
358,84.963
359,86.748
360,87.891
361,94.415
362,90.508
363,66.563
364,87.429
365,90.836
366,88.662
367,86.077
368,92.217
369,73.759
370,82.363
371,83.374
372,83.500
373,83.872
374,86.333
375,87.784
376,93.888
377,86.376
378,74.545
379,90.263
380,84.129
381,79.536
382,85.165
383,83.565
384,87.959
385,89.906
386,89.546
387,89.556
388,91.163
389,76.161
390,95.014
391,87.453
392,77.890
393,84.777
394,95.401
395,89.666
396,69.051
397,89.811
398,88.654
399,87.829
400,83.127
401,91.830
402,78.851
403,88.917
404,86.617
405,77.678
406,82.249
407,87.718
408,85.911
409,89.390
410,85.951
411,93.830
412,89.408
413,82.668
414,90.918
415,83.293
416,90.888
417,94.083
418,89.465
419,88.449
420,85.811
421,84.432
422,74.337
423,88.419
424,79.809
425,90.670
426,94.105
427,84.965
428,85.897
429,90.167
430,92.439
431,79.852
432,79.936
433,88.635
434,86.975
435,88.190
436,92.325
437,88.101
438,91.895
439,87.052
440,80.834
441,91.505
442,90.111
443,88.557
444,92.563
445,82.428
446,93.097
447,86.476
448,80.554
449,89.293
450,84.362
451,85.723
452,77.272
453,89.155
454,90.421
455,84.711
456,93.854
457,83.464
458,90.853
459,80.948
460,85.421
461,81.495
462,88.386
463,83.822
464,87.088
465,71.547
466,91.351
467,88.326
468,85.042
469,86.977
470,91.447
471,86.441
472,67.753
473,89.979
474,93.754
475,90.841
476,78.128
477,86.811
478,84.046
479,88.866
480,72.333
481,81.857
482,90.848
483,95.805
484,74.169
485,82.851
486,82.864
487,86.164
488,87.728
489,70.964
490,79.184
491,68.940
492,81.442
493,84.728
494,84.397
495,81.025
496,88.759
497,93.041
498,83.677
499,90.379
500,88.984
501,83.599
502,89.352
503,84.915
504,93.381
505,86.303
506,76.693
507,82.574
508,88.375
509,85.917
510,92.016
511,92.823
512,88.041
513,84.879
514,91.593
515,81.580
516,91.638
517,90.088
518,86.435
519,79.700
520,89.868
521,84.836
522,86.459
523,85.790
524,90.138
525,83.285
526,79.890
527,81.587
528,88.448
529,83.784
530,92.414
531,87.978
532,83.832
533,88.130
534,88.991
535,82.700
536,87.409
537,91.161
538,88.999
539,91.525
540,90.755
541,92.493
542,95.176
543,84.630
544,82.648
545,84.746
546,89.241
547,86.382
548,88.698
549,90.798
550,86.363
551,80.955
552,90.918
553,92.951
554,84.691
555,91.785
556,80.647
557,77.445
558,87.214
559,91.204
560,85.398
561,76.063
562,85.504
563,83.339
564,88.082
565,87.525
566,92.576
567,88.530
568,81.944
569,84.695
570,87.252
571,78.100
572,93.950
573,88.858
574,93.218
575,85.900
576,90.056
577,86.911
578,88.986
579,77.234
580,80.849
581,89.344
582,69.486
583,86.313
584,55.274
585,88.656
586,87.266
587,84.903
588,86.826
589,91.978
590,87.718
591,84.317
592,84.830
593,85.480
594,92.269
595,86.352
596,93.978
597,90.172
598,88.136
599,80.434
600,93.402
601,84.131
602,85.405
603,89.945
604,86.904
605,95.149
606,93.076
607,76.437
608,86.466
609,91.478
610,89.078
611,79.709
612,86.563
613,85.690
614,88.254
615,89.747
616,83.105
617,86.344
618,91.235
619,81.219
620,88.577
621,84.145
622,76.829
623,86.010
624,88.831
625,82.766
626,85.991
627,93.029
628,89.569
629,90.518
630,86.949
631,79.356
632,91.063
633,89.340
634,84.313
635,76.695
636,91.464
637,87.752
638,89.781
639,93.629
640,89.516
