Id,OverallScore
1,87.223
2,88.828
3,79.146
4,92.545
5,85.791
6,85.108
7,76.603
8,81.219
9,85.253
10,84.680
11,89.577
12,93.212
13,78.566
14,94.558
15,91.023
16,87.970
17,87.641
18,85.939
19,87.037
20,87.024
21,86.806
22,82.481
23,86.147
24,89.153
25,83.457
26,90.361
27,82.759
28,90.793
29,83.462
30,87.734
31,84.204
32,90.766
33,89.490
34,71.980
35,79.496
36,73.552
37,85.881
38,93.015
39,94.076
40,84.645
41,72.318
42,80.668
43,80.057
44,96.838
45,89.105
46,90.269
47,87.151
48,85.861
49,90.718
50,90.906
51,91.674
52,91.708
53,86.463
54,87.076
55,97.084
56,88.018
57,64.863
58,81.505
59,82.535
60,84.611
61,91.127
62,86.609
63,85.917
64,86.008
65,89.525
66,96.935
67,80.611
68,85.773
69,87.651
70,87.748
71,74.089
72,73.056
73,83.466
74,87.225
75,90.661
76,85.413
77,97.285
78,88.910
79,91.761
80,88.719
81,85.493
82,91.053
83,81.206
84,90.646
85,84.380
86,91.469
87,88.488
88,87.520
89,74.006
90,92.048
91,81.441
92,91.262
93,86.418
94,91.689
95,81.700
96,87.477
97,81.586
98,66.097
99,87.445
100,85.174
101,77.870
102,84.393
103,87.127
104,85.419
105,85.954
106,92.660
107,90.182
108,92.108
109,80.443
110,84.980
111,88.433
112,82.278
113,87.858
114,85.447
115,94.788
116,82.156
117,85.866
118,83.587
119,76.271
120,73.924
121,87.638
122,84.122
123,92.744
124,93.274
125,84.327
126,88.930
127,91.189
128,92.819
129,81.154
130,89.587
131,83.120
132,88.296
133,89.188
134,78.954
135,87.767
136,83.250
137,67.421
138,90.449
139,89.286
140,86.842
141,67.612
142,90.988
143,81.855
144,86.219
145,91.755
146,68.417
147,75.924
148,90.682
149,88.962
150,83.578
151,83.413
152,65.045
153,79.322
154,86.424
155,87.751
156,87.876
157,92.096
158,82.243
159,83.865
160,88.217
161,78.778
162,93.696
163,85.245
164,87.211
165,82.493
166,76.265
167,85.282
168,87.946
169,75.120
170,89.580
171,79.496
172,83.645
173,91.510
174,86.191
175,90.211
176,88.965
177,92.576
178,88.467
179,88.990
180,85.197
181,81.724
182,84.647
