Id,OverallScore
1,94.108
2,89.987
3,88.110
4,82.540
5,90.476
6,94.412
7,83.861
8,81.882
9,86.649
10,86.249
11,93.502
12,90.942
13,79.757
14,91.604
15,88.139
16,89.901
17,82.608
18,89.096
19,91.782
20,87.286
21,84.696
22,83.981
23,84.284
24,82.211
25,88.406
26,89.087
27,80.160
28,87.299
29,86.769
30,92.937
31,86.396
32,94.044
33,88.314
34,78.604
35,88.470
36,84.868
37,76.229
38,93.216
39,92.471
40,87.255
41,85.776
42,84.392
43,86.396
44,90.755
45,94.129
46,93.339
47,91.694
48,85.697
49,86.405
50,86.944
51,90.205
52,91.082
53,87.442
54,85.673
55,91.412
56,82.622
57,85.158
58,84.103
59,84.868
60,88.145
61,89.209
62,89.429
63,92.214
64,84.877
65,90.738
66,94.759
67,84.868
68,85.673
69,90.775
70,82.169
71,85.691
72,83.479
73,83.325
74,70.707
75,87.597
76,79.195
77,93.295
78,76.434
79,88.048
80,88.050
81,84.452
82,93.586
83,86.578
84,92.867
85,83.821
86,92.424
87,84.993
88,88.429
89,80.227
90,92.742
91,80.855
92,92.428
93,82.582
94,91.290
95,80.476
96,89.823
97,86.649
98,85.691
99,88.024
100,83.296
101,85.418
102,85.783
103,87.453
104,90.847
105,88.269
106,93.636
107,88.043
108,85.589
109,83.214
110,84.171
111,91.849
112,87.169
113,92.040
114,86.023
115,91.240
116,88.470
117,82.997
118,82.259
119,81.986
120,87.169
121,86.920
122,85.268
123,96.791
124,89.923
125,75.808
126,89.078
127,86.058
128,91.148
129,82.241
130,87.470
131,85.719
132,88.038
133,81.498
134,87.645
135,93.399
136,82.338
137,78.304
138,83.646
139,83.878
140,85.900
141,82.270
142,91.894
143,68.968
144,84.176
145,91.589
146,80.957
147,85.297
148,87.787
149,70.963
150,70.963
151,87.941
152,77.974
153,87.270
154,83.996
155,70.963
156,85.958
157,94.994
158,86.479
159,82.107
160,76.504
161,87.990
162,89.417
163,89.825
164,81.693
165,90.137
166,86.191
167,76.942
168,83.296
169,87.455
170,86.309
171,76.399
172,75.692
173,94.674
174,87.990
175,89.463
176,86.978
177,90.072
178,91.955
179,87.982
180,86.396
181,83.296
182,88.365
183,88.208
