ids,RatingID,erkey,AccountabilityID,RatingYear,BaseYear,RatingInterval,CN_Priority,Creation_Date,date_calculated,publish_date,exclude,ExcludeFromLists,previousratingid,DataEntryAnalyst,Rpt_Comp_Date,Rpt_Comp_Emp,Reader2_Date,EmployeeID,Rpt_Ap_Date,Rpt_Ap_Emp,Rpt_Ver_Date,Incomplete,BoardList_Status,StaffList_Status,AuditedFinancial_status,Form990_status,Privacy_Status,StatusID,DonorAdvisoryDate,DonorAdvisoryText,IRSControlID,ResultsID,DonorAdvisoryCategoryID,RatingTableID,CauseID,CNVersion,Tax_Year,CEO_Salary,Direct_Support,Indirect_Support,Govt_Grants,Total_Contributions,ProgSvcRev,MemDues,PrimaryRev,Other_Revenue,Total_Revenue,Excess_Deficit,Int_Expense,Depreciation,Total_Expenses,Total_Func_Exp,Program_Expenses,Administration_Expenses,Fundraising_Expenses,Pymt_Affiliates,Total_Assets,Total_Liabilities,Total_Net_Assets,Assets_45,Assets_46,Assets_47c,Assets_48c,Assets_49,Assets_54,Liability_60
1,126938,er-30822,89060,2016,2013,3,,43038.6408449074,43122.4822569444,43132,0,0,115842,74,43096.5981597222,NaN,NaN,74,43122.4824768519,70,43122.4824768519,NaN,1,1,1,1,1,NaN,NaN,NaN,82,NaN,NaN,16,16,2.1,2016,186509,NaN,NaN,29000,2240099,463146,0,2703245,3312410,6015655,-282690,NaN,NaN,6298345,6298345,4876233,799506,622606,0,10039934,1965747,8074187,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,126939,er-30829,89061,2016,2013,3,,43038.6408449074,43109.6898958333,43132,0,0,114773,70,43081.5316550926,NaN,NaN,70,43109.6907986111,51,43109.6907986111,NaN,1,1,0,0,1,NaN,NaN,NaN,82,NaN,NaN,16,16,2.1,2016,28067,NaN,NaN,1223449,3767521,3205153,0,6972674,1325070,8297744,-386984,NaN,NaN,8684728,8684728,6963131,920328,801269,0,14344245,1685310,12658935,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,128935,er-31576,91057,2016,2013,3,,43083.7366319444,43147.5330671296,43160,0,0,120694,56,43147.464212963,NaN,NaN,56,43147.533125,74,43147.533125,NaN,1,1,1,1,1,NaN,NaN,NaN,83,NaN,NaN,4,4,2.1,2016,165582,NaN,NaN,0,3197096,163580,0,3360676,-160138,3200538,709483,NaN,NaN,2491055,2491055,2002065,147555,341435,0,3185957,2542995,642962,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,128936,er-31579,91058,2016,2012,4,,43083.7366319444,43157.7002199074,43160,0,0,118899,85,43140.6258449074,NaN,NaN,85,43145.4937268519,74,43145.4937268519,NaN,1,1,1,1,1,NaN,NaN,NaN,83,NaN,NaN,4,4,2.1,2016,NaN,NaN,NaN,105500,2542386,201870,0,2744256,424,2744680,-268948,NaN,NaN,3013628,3013628,2814704,143854,55070,0,596139,32836,563303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,128939,er-31585,91061,2016,2013,3,,43083.7366319444,43143.4063541667,43160,0,0,117606,85,43133.4077430556,NaN,NaN,85,43143.4063888889,74,43143.4063888889,NaN,1,1,1,1,0,NaN,NaN,NaN,83,NaN,NaN,3,3,2.1,2016,93802,NaN,NaN,298353,1691272,288171,145530,1979443,268077,2247520,-2690042,NaN,NaN,4937562,4937562,3527035,1012249,398278,0,46833413,167677,46665736,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,128940,er-31586,91062,2016,2013,3,,43083.7366319444,43130.4189814815,43160,0,0,115645,85,43130.4196412037,NaN,NaN,85,43133.6649884259,70,43133.6649884259,NaN,1,1,1,1,0,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,114693,NaN,NaN,0,16464127,0,0,16464127,2914,16467041,38310,NaN,NaN,16428731,16428731,15432883,115234,880614,0,1217336,104898,1112438,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,128941,er-31597,91063,2016,2013,3,,43083.7366319444,43143.5965625,43160,0,0,118174,85,43140.6312615741,NaN,NaN,85,43143.5967592593,51,43143.5967592593,NaN,0,0,0,0,0,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,120966,NaN,NaN,368815,2733110,925268,0,3658378,40966,3699344,-116909,NaN,NaN,3816253,3816253,3212525,507003,96725,0,664130,258034,406096,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,128942,er-31599,91064,2016,2013,3,,43083.7366319444,43133.6308449074,43160,0,0,115977,73,43130.6253009259,NaN,NaN,73,43133.6310416667,51,43133.6310416667,NaN,0,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,52000,NaN,NaN,0,1118119,0,0,1118119,106823,1224942,-98371,NaN,NaN,1323313,1323313,1012785,213974,96554,300000,5303937,52402,5251535,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,127597,er-32443,89719,2016,2013,3,,43038.6408449074,43112.4214930556,43132,0,0,111387,73,43098.5133101852,NaN,NaN,73,43112.4216087963,74,43112.4216087963,NaN,1,1,0,0,0,NaN,NaN,NaN,82,NaN,NaN,4,4,2.1,2016,121901,NaN,NaN,268489,1814425,260686,0,2075111,28985,2104096,-490819,NaN,NaN,2594915,2594915,2387148,87707,120060,0,2722252,428180,2294072,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,127598,er-32450,89720,2016,2013,3,,43038.6408449074,43119.4384490741,43132,0,0,90130,74,43117.5944675926,NaN,NaN,74,43119.4391666667,70,43119.4391666667,NaN,1,1,0,0,0,NaN,NaN,NaN,82,NaN,NaN,29,29,2.1,2016,100887,NaN,NaN,0,1194286,0,0,1194286,26751,1221037,356571,NaN,NaN,864466,864466,648810,127122,88534,0,4220750,312284,3908466,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,129160,er-31942,91282,2016,2013,3,,43083.7366319444,43153.4665972222,43160,0,0,127739,48,43151.6159837963,NaN,NaN,48,43153.4666898148,51,43153.4666898148,NaN,1,1,0,1,1,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,61500,NaN,NaN,484128,1096035,0,0,1096035,89709,1185744,166892,NaN,NaN,1018852,1018852,778643,106004,134205,0,5037824,402,5037422,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,129169,er-31964,91291,2016,2013,3,,43083.7366319444,43140.6696180556,43160,0,0,118227,58,43140.6263541667,NaN,NaN,58,43140.669849537,51,43140.669849537,NaN,1,1,1,0,1,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,112336,NaN,NaN,70892,2833864,16389,0,2850253,280364,3130617,100777,NaN,NaN,3029840,3029840,2438234,419552,172054,12000,27164337,506678,26657659,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,126940,er-30830,89062,2016,2013,3,,43038.6408449074,43112.4625925926,43132,0,0,118623,51,43109.4344791667,NaN,NaN,51,43112.4626967593,70,43112.4626967593,NaN,0,1,0,0,0,NaN,NaN,NaN,82,NaN,NaN,29,29,2.1,2016,0,NaN,NaN,5000,5615820,4078729,0,9694549,100127,9794676,1905429,NaN,NaN,7889247,7889247,7029096,628595,231556,0,31668175,393352,31274823,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,129803,er-30522,91925,2016,2013,3,0,43137.6220717593,43140.3965162037,43160,0,0,125637,NaN,43034.397974537,NaN,NaN,10,43140.3965393519,56,43140.3965393519,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2016,126947,NaN,NaN,0,3279405,1752853,0,5032258,503912,5536170,230315,NaN,NaN,5305855,5305855,4486058,185510,634287,0,12079331,506201,11573130,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,128578,er-31033,90700,2016,2013,3,,43083.7366319444,43110.4494560185,43132,0,0,118691,85,43109.6378472222,NaN,NaN,85,43110.4494675926,70,43110.4494675926,NaN,1,1,1,1,0,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,73548,NaN,NaN,1618494,1817730,96228,0,1913958,279,1914237,3913,NaN,NaN,1910324,1910324,1569729,297711,42884,0,3229149,178924,3050225,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,128581,er-31036,90703,2016,2013,3,,43083.7366319444,43132.6661111111,43160,0,0,114830,73,43129.5216782407,NaN,NaN,73,43132.6662384259,70,43132.6662384259,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,31424,NaN,NaN,1413920,1831310,282698,0,2114008,23689,2137697,8020,NaN,NaN,2129677,2129677,1704145,309019,116513,0,2334924,248676,2086248,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,129469,er-32576,91591,2016,2013,3,,43083.7366319444,43147.6524537037,43160,0,0,100121,74,43147.4139236111,NaN,NaN,74,43147.6526388889,70,43147.6526388889,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,79293,NaN,NaN,1621768,2805913,0,0,2805913,37078,2842991,780449,NaN,NaN,2062542,2062542,1756896,207857,97789,0,2493411,733259,1760152,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,129477,er-32580,91599,2016,2013,3,,43083.7366319444,43145.4874305556,43160,0,0,100161,11,43145.446412037,NaN,NaN,11,43145.4875231481,70,43145.4875231481,NaN,1,1,0,1,0,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,138842,NaN,NaN,0,3583432,85424,0,3668856,7589,3676445,503652,NaN,NaN,3172793,3172793,2180162,905595,87036,0,5706880,247165,5459715,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,128297,er-30596,90419,2016,2013,3,,43083.7366319444,43143.4009837963,43160,0,0,114419,85,43131.4347337963,NaN,NaN,85,43136.6209375,70,43136.6209375,NaN,1,1,1,1,1,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,163000,NaN,NaN,2080635,3744888,61155,0,3806043,591331,4397374,-518653,NaN,NaN,4916027,4916027,4068554,289562,557911,0,7824971,5198148,2626823,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,128301,er-30599,90423,2016,2013,3,,43083.7366319444,43137.534375,43160,0,0,116221,70,43130.4911458333,NaN,NaN,70,43137.5344675926,74,43137.5344675926,NaN,1,1,1,1,0,NaN,NaN,NaN,83,NaN,NaN,4,4,2.1,2016,172108,NaN,NaN,145810,9766317,37422808,0,47189125,6243533,53432658,2436186,NaN,NaN,50996472,50996472,44903808,3628115,2464549,0,87594551,44093417,43501134,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,127599,er-32454,89721,2016,2013,3,,43038.6408449074,43083.6412152778,43091,0,0,111475,74,43082.5925462963,NaN,NaN,74,43083.6412962963,70,43083.6412962963,NaN,1,1,0,0,0,NaN,NaN,NaN,82,NaN,NaN,29,29,2.1,2016,38698,NaN,NaN,320342,4292353,0,0,4292353,112875,4405228,2217075,NaN,NaN,2188153,2188153,1737749,333881,116523,0,9929257,1007216,8922041,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,127604,er-32462,89726,2016,2012,4,,43038.6408449074,43083.4298726852,43091,0,0,113030,73,43073.6736805556,NaN,NaN,73,43083.4299421296,74,43083.4299421296,NaN,1,1,0,0,0,NaN,NaN,NaN,82,NaN,NaN,4,4,2.1,2016,92700,NaN,NaN,0,867684,157686,0,1025370,170307,1195677,-28057,NaN,NaN,1223734,1223734,1059263,106512,57959,0,675888,124582,551306,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,128945,er-31607,91067,2016,2013,3,,43083.7366319444,43145.4045717593,43160,0,0,118906,85,43140.6506365741,NaN,NaN,85,43145.4046296296,74,43145.4046296296,NaN,1,1,0,0,1,NaN,NaN,NaN,83,NaN,NaN,3,3,2.1,2016,81627,NaN,NaN,0,585135,579126,380250,1164261,140156,1304417,-181840,NaN,NaN,1486257,1486257,1057750,285059,143448,0,7146282,483544,6662738,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,128947,er-31609,91069,2016,2013,3,,43083.7366319444,43147.4631712963,43160,0,0,120025,85,43147.3938425926,NaN,NaN,85,43147.4632523148,74,43147.4632523148,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,4,4,2.1,2016,125000,NaN,NaN,63000,3556599,2279093,0,5835692,-100368,5735324,44652,NaN,NaN,5690672,5690672,4657046,513372,520254,0,9277488,1196005,8081483,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,129804,er-31326,91926,2016,2013,3,0,43137.6478125,43137.6486921296,43160,0,0,127146,NaN,43117.6771643519,NaN,NaN,70,43137.6487384259,56,43137.6487384259,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2016,115248,NaN,NaN,0,5730033,604794,0,6334827,202877,6537704,1899108,NaN,NaN,4638596,4638596,3521225,325559,791812,0,12534281,3590646,8943635,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,129811,er-30516,91933,2015,2012,3,0,43139.4294675926,43139.4296527778,43160,0,0,121891,NaN,42872.398599537,NaN,NaN,70,43139.4299305556,56,43139.4299305556,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2015,116478,NaN,NaN,0,4196516,1082264,126737,5278780,164372,5443152,958312,NaN,NaN,4484840,4484840,3300923,605799,578118,0,19089301,1528460,17560841,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,129170,er-31966,91292,2016,2012,4,,43083.7366319444,43145.6147569444,43160,0,0,119025,56,43145.5212037037,NaN,NaN,56,43145.6148148148,74,43145.6148148148,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,4,4,2.1,2016,98893,NaN,NaN,67528,996521,52717,14520,1049238,209081,1258319,-189302,NaN,NaN,1447621,1447621,1123139,148480,176002,0,3763753,766845,2996908,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,129171,er-31974,91293,2016,2013,3,,43083.7366319444,43102.6724305556,43132,0,0,118366,74,43097.5005902778,NaN,NaN,74,43102.4471412037,70,43102.4471412037,NaN,1,1,1,1,0,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,146493,NaN,NaN,0,2680916,0,0,2680916,-85500,2595416,1224740,NaN,NaN,1370676,1370676,1195105,168478,7093,0,18143738,34768,18108970,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,128949,er-31610,91071,2016,2013,3,,43083.7366319444,43137.7204166667,43160,0,0,117610,11,43133.4328240741,NaN,NaN,11,43137.7207291667,51,43137.7207291667,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,200433,NaN,NaN,0,1488478,0,0,1488478,-206181,1282297,18479,NaN,NaN,1263818,1263818,988080,107183,168555,0,810378,15261,795117,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,128951,er-31612,91073,2016,2013,3,,43083.7366319444,43139.4564699074,43160,0,0,117840,11,43133.4455555556,NaN,NaN,11,43139.4568402778,70,43139.4568402778,NaN,1,1,1,1,1,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,101981,NaN,NaN,187500,2142867,79880,0,2222747,-130559,2092188,316319,NaN,NaN,1775869,1775869,1400993,148752,226124,0,780662,108447,672215,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,128582,er-31037,90704,2016,2013,3,,43083.7366319444,43145.4483912037,43160,0,0,118692,51,43140.5249884259,NaN,NaN,51,43145.4484606481,74,43145.4484606481,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,3,3,2.1,2016,168000,NaN,NaN,106820,1170410,202865,0,1373275,-39502,1333773,-122980,NaN,NaN,1456753,1456753,1065091,152315,239347,0,2253676,35984,2217692,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,128586,er-31040,90708,2016,2013,3,,43083.7366319444,43140.5315856481,43160,0,0,117466,70,43132.479849537,NaN,NaN,70,43140.5316550926,74,43140.5316550926,NaN,1,1,1,1,0,NaN,NaN,NaN,83,NaN,NaN,3,3,2.1,2016,170613,NaN,NaN,31177,1451219,2825414,0,4276633,147081,4423714,-962170,NaN,NaN,5385884,5385884,4424013,501899,459972,0,22108543,3306456,18802087,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,128952,er-31614,91074,2016,2013,3,,43083.7366319444,43143.5929861111,43160,0,0,118176,85,43140.6051967593,NaN,NaN,85,43143.5931134259,51,43143.5931134259,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,179375,NaN,NaN,69947,5373262,1365486,0,6738748,-147027,6591721,-643609,NaN,NaN,7235330,7235330,6484107,576018,175205,0,5711205,394681,5316524,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,128954,er-31615,91076,2016,2013,3,,43083.7366319444,43146.4665162037,43160,0,0,120700,85,43145.4993402778,NaN,NaN,85,43146.4665509259,70,43146.4665509259,NaN,1,1,1,1,2,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,273836,NaN,NaN,0,13485479,0,0,13485479,364930,13850409,717497,NaN,NaN,13132912,13132912,8286992,1177149,3668771,0,3687018,986053,2700965,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,129478,er-32583,91600,2016,2013,3,,43083.7366319444,43154.4359027778,43160,0,0,100165,48,43151.4861574074,NaN,NaN,48,43154.4362037037,51,43154.4362037037,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,134952,NaN,NaN,18292,2419516,206224,0,2625740,6246,2631986,-104176,NaN,NaN,2736162,2736162,2164973,101015,470174,0,1029999,312918,717081,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,129485,er-32594,91607,2016,2013,3,,43083.7366319444,43139.4737152778,43160,0,0,113858,85,43137.4220833333,NaN,NaN,85,43139.473900463,51,43139.473900463,NaN,0,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,16,16,2.1,2016,70685,NaN,NaN,0,956731,81383,0,1038114,253849,1291963,623751,NaN,NaN,668212,668212,480425,97584,90203,15545,1109595,549198,560397,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,128302,er-30601,90424,2016,2013,3,,43083.7366319444,43137.6267361111,43160,0,0,116223,70,43130.4846759259,NaN,NaN,70,43137.6268171296,74,43137.6268171296,NaN,1,1,0,0,0,NaN,NaN,NaN,83,NaN,NaN,4,4,2.1,2016,305219,NaN,NaN,194780,8706821,8137808,0,16844629,1626238,18470867,-1113553,NaN,NaN,19584420,19584420,13009422,4801472,1773526,0,37773227,5482501,32290726,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,128308,er-30616,90430,2016,2013,3,,43083.7366319444,43133.6783912037,43160,0,0,115810,73,43130.5428009259,NaN,NaN,73,43133.6784143519,70,43133.6784143519,NaN,1,1,1,1,1,NaN,NaN,NaN,83,NaN,NaN,29,29,2.1,2016,175695,NaN,NaN,18158726,27090949,1183747,0,28274696,5305876,33580572,6304652,NaN,NaN,27275920,27275920,23759324,2537910,978686,0,31953429,6990730,24962699,NaN,NaN,NaN,NaN,NaN,NaN,NaN
