ids,RatingID,erkey,AccountabilityID,RatingYear,BaseYear,RatingInterval,CN_Priority,Creation_Date,date_calculated,publish_date,exclude,ExcludeFromLists,previousratingid,DataEntryAnalyst,Rpt_Comp_Date,Rpt_Comp_Emp,Reader2_Date,EmployeeID,Rpt_Ap_Date,Rpt_Ap_Emp,Rpt_Ver_Date,Incomplete,BoardList_Status,StaffList_Status,AuditedFinancial_status,Form990_status,Privacy_Status,StatusID,DonorAdvisoryDate,DonorAdvisoryText,IRSControlID,ResultsID,DonorAdvisoryCategoryID,RatingTableID,CauseID,CNVersion,Tax_Year,CEO_Salary,Direct_Support,Indirect_Support,Govt_Grants,Total_Contributions,ProgSvcRev,MemDues,PrimaryRev,Other_Revenue,Total_Revenue,Excess_Deficit,Int_Expense,Depreciation,Total_Expenses,Total_Func_Exp,Program_Expenses,Administration_Expenses,Fundraising_Expenses,Pymt_Affiliates,Total_Assets,Total_Liabilities,Total_Net_Assets,Assets_45,Assets_46,Assets_47c,Assets_48c,Assets_49,Assets_54,Liability_60
1,2640,er-30307,74107,2015,2012,3,0,37438.548587963,42975.6860648148,42979,0,0,NaN,10,42971.4737268519,NaN,NaN,10,42971.6110532407,56,42971.6110532407,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2015,28125,NaN,NaN,7300,1054919,217280,0,1272199,203706,1475905,-273687,NaN,NaN,1749592,1749592,1520376,196922,32294,0,9732736,1231,9731505,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7059,er-30703,56043,2014,2011,3,1,37963.413900463,42205.4966203704,42217,0,0,NaN,67,42192.6749652778,NaN,NaN,67,42205.4971412037,48,42205.4971412037,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2,2014,79346,NaN,NaN,0,1146040,2571,11993,1148611,115419,1264030,462092,NaN,NaN,801938,801938,563730,175328,62880,0,8449069,524766,7924303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1509,er-30243,74062,2016,2013,3,0,37411,42929.484375,42948,0,0,NaN,70,42928.6449768519,NaN,37561,70,42929.4844328704,67,42929.4844328704,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2.1,2016,112881,NaN,NaN,1365600,14060661,688631,405590,14749292,1358656,16107948,8900216,NaN,NaN,7207732,7207732,5748159,1067284,392289,0,66871380,5269304,61602076,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,9597,er-30831,74566,2015,2012,3,0,38160.3993055556,42937.5220023148,42948,0,0,NaN,10,42935.5545717593,NaN,NaN,10,42937.5226851852,73,42937.5226851852,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,16,16,2.1,2015,114709,NaN,NaN,1631987,5848925,68099,31319,5917024,291538,6208562,1318304,NaN,NaN,4890258,4890258,4207308,483358,199592,0,11839905,534278,11305627,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,8363,er-30457,74455,2015,2012,3,1,38047.444224537,42738.6387268519,42767,0,0,NaN,67,42738.6392592593,NaN,NaN,67,42753.5151388889,56,42753.5151388889,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,2,2,2.1,2015,135000,NaN,NaN,0,3163323,1837409,0,5000732,113171,5113903,585170,NaN,NaN,4528733,4528733,3762971,435221,330541,0,10570000,2939850,7630150,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,8498,er-30499,46653,2015,2011,4,0,38057.4931828704,42930.6318402778,42948,0,0,NaN,70,42916.5045138889,NaN,NaN,70,42930.6345717593,11,42930.6345717593,NaN,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,6,6,2.1,2015,165000,NaN,NaN,0,1505447,213899,118225,1719346,30627,1749973,101253,NaN,NaN,1648720,1648720,1050353,395374,202993,0,1718450,940597,777853,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,9808,er-30836,74571,2016,2013,3,0,38198.383912037,42942.6707175926,42948,0,0,NaN,10,42935.3808564815,NaN,NaN,10,42935.4990625,56,42935.4990625,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2.1,2016,202955,NaN,NaN,997982,4434000,3085502,0,7519502,291018,7810520,2087529,NaN,NaN,5722991,5722991,4158777,839067,725147,0,25226117,4601459,20624658,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,14598,er-31127,74786,2015,2012,3,0,38560.4381134259,43013.487349537,43040,0,0,NaN,10,42979.4903819444,NaN,NaN,10,43013.4875925926,74,43013.4875925926,NaN,1,1,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2.1,2015,84050,NaN,NaN,50000,2052181,343981,0,2396162,110199,2506361,898101,NaN,NaN,1608260,1608260,1233311,229693,145256,0,3708292,166149,3542143,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,14074,er-31058,28703,2014,2010,4,1,38505.470787037,42711.6759722222,42725,1,0,NaN,10,42711.6290046296,NaN,NaN,10,42711.6770023148,74,42711.6770023148,NaN,1,1,1,1,0,NaN,NaN,NaN,0,NaN,NaN,6,6,2.1,2014,188590,NaN,NaN,22735,4138029,129666,0,4267695,410918,4678613,1500773,NaN,NaN,3177840,3177840,2296264,472418,409158,0,19332952,211609,19121343,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,14190,er-31084,74753,2016,2013,3,0,38505.4708564815,42929.6060069444,42948,0,0,NaN,70,42929.6065046296,NaN,NaN,70,42933.682962963,73,42933.682962963,NaN,1,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,4,4,2.1,2016,311652,NaN,NaN,4000,3370878,2619340,0,5990218,207213,6197431,-4849644,NaN,NaN,11047075,11047075,9196903,701738,1148434,0,76774568,27838290,48936278,NaN,NaN,NaN,NaN,NaN,NaN,NaN
