ids,ATScore,OverallScore
1,89,91.13
2,89,91.31
3,89,88.76
4,89,92.22
5,77,81.91
6,86,74.05
7,89,90.17
8,93,93.79
9,96,80.32
10,89,90.25
11,51,65.3
12,62,72.26
13,89,88.91
14,59,71
15,89,90.79
16,79,83.95
17,96,93.81
18,92,84.84
19,82,75.58
20,77,71.06
21,85,88.97
22,93,92.05
23,81,84.52
24,89,86.51
25,82,67.39
26,89,90.51
27,51,47.82
28,89,91.55
29,96,85.17
30,78,81.65
31,85,88.92
32,74,77.04
33,73,78.05
34,81,83.13
35,74,77.95
36,89,88.56
37,89,91.64
38,81,83.82
39,69,72.67
40,89,85.97
41,71,77.43
42,89,69.65
43,78,80.74
44,85,89.24
45,92,94.25
46,77,76.07
47,92,90.46
48,100,79.93
49,89,88.62
50,89,89.24
51,62,72.61
52,74,75.07
53,70,68.29
54,65,66.25
55,89,85.63
56,89,85.65
57,78,74.28
58,71,67.91
59,89,91.64
60,96,92.65
61,89,89.48
62,92,90.05
63,85,89.3
64,70,74.87
65,90,88.22
66,97,83.72
67,92,92.64
68,89,91.01
69,85,85.7
70,82,86.31
71,82,77.79
72,63,73.83
73,74,68.93
74,73,80.09
75,100,87.47
76,93,94.92
77,96,92.04
78,93,85.65
79,82,81.98
80,85,81.69
81,93,92.53
82,74,79.02
83,96,93.49
84,73,76.94
85,89,86.27
86,69,76.97
87,90,79.89
88,89,80.66
89,85,85.24
90,77,78.1
91,74,79.23
92,89,90.99
93,85,83.89
94,93,93.16
95,74,79.22
96,70,69.38
97,84,82.05
98,85,82.94
99,85,83.19
100,81,82
101,89,90.41
102,92,87.07
103,88,89.32
104,100,82.32
105,86,88.18
106,89,83.63
107,100,97.87
108,89,88.04
109,81,80.81
110,96,90.39
111,89,91.54
112,81,86.15
113,77,80.8
114,74,81.53
115,66,74.17
116,85,85.41
117,89,79.29
118,77,76.73
119,62,72.34
120,81,84.21
121,100,90.82
122,89,84.57
123,93,85.14
124,100,97.31
125,96,74.75
126,89,79.7
127,81,84.27
128,86,85.48
129,96,92.88
130,89,81.13
131,89,91.68
132,84,75.11
133,81,86.2
134,96,95.96
135,96,91.39
136,100,97.01
137,96,88.72
138,82,75.41
139,85,74.13
140,81,70.37
141,88,91.08
142,89,90.54
143,93,82.6
144,89,82.38
145,100,80.05
146,96,81.86
147,96,82.28
148,92,90.9
149,89,91.82
150,96,92.33
151,96,80.8
152,96,92.96
153,89,75.93
154,81,80.04
155,89,72.75
156,89,89.54
157,96,88.26
158,85,89.35
159,100,93.86
160,100,90.94
161,93,81.2
162,78,67.71
163,96,86.5
164,85,68.24
165,100,95.89
166,93,79.73
167,92,92.14
168,89,90.27
169,89,79.23
170,85,87.36
171,92,91.43
172,92,73.95
173,96,89.78
174,82,82.27
175,97,91.34
176,93,83.77
177,81,73.41
178,92,74.68
179,89,80.68
180,85,85.3
181,96,90.28
182,96,85.17
183,90,83.8
184,97,91.56
185,73,80.41
186,89,72.1
187,100,99.26
188,96,77.54
189,85,84.49
190,89,76.09
191,97,73.51
192,89,84.62
193,85,76.36
194,96,91.8
195,100,97.85
196,96,96.81
197,85,83.16
198,100,90.38
199,100,95.15
200,96,82.8
201,89,83.62
202,100,85.84
203,96,83.42
204,92,80.26
205,86,84.45
206,89,82.98
207,85,87.49
208,100,97.42
209,85,88.45
210,85,87.14
211,89,80.2
212,97,78.81
213,92,91.62
214,89,75.76
215,82,81.46
216,78,77.93
217,89,81.74
218,86,82.86
219,100,88.2
220,77,81.08
221,92,90.54
222,100,83.18
223,86,81.14
224,100,92.85
225,81,83.74
226,82,78.05
227,92,82.15
228,96,83.58
229,100,85.2
230,97,85.65
231,89,78.7
232,85,87.47
233,100,84.95
234,89,88.25
235,78,84.11
236,78,77.88
237,89,79.52
238,93,91.63
239,89,91.67
240,77,80.38
241,84,84.09
242,96,87.25
243,96,90.47
244,92,88.23
245,92,90.8
246,77,81.12
247,85,87.1
248,85,86.8
249,86,81.21
250,81,85.93
251,70,75.52
252,85,85.1
253,89,58.88
254,100,93.01
255,96,95.36
256,93,87.85
257,82,77.31
258,90,83.32
259,96,91.69
260,89,89.93
261,85,76.52
262,86,88.93
263,89,91.68
264,89,90.7
265,88,85.19
266,96,95.62
267,96,93.4
268,100,93.5
269,100,82.8
270,100,90.39
271,93,86.25
272,89,80.05
273,89,78.2
274,92,81.21
275,89,87.65
276,89,91.26
277,85,85.25
278,58,68.37
279,92,92.93
280,100,92.29
281,78,73.4
282,92,82.19
283,89,91.65
284,81,76.27
285,81,83.69
286,78,82.78
287,89,88.37
288,92,88.19
289,92,93.85
290,92,82.75
291,88,87.14
292,85,85.13
293,96,93.18
294,82,82.48
295,100,79.01
296,51,65.04
297,85,82.35
298,89,90.82
299,89,85.47
300,92,92.19
301,93,82.72
302,89,80.49
303,62,24.35
304,77,76.35
305,93,91.68
306,89,88.17
307,89,85.33
308,93,92.27
309,96,81.79
310,93,82.12
311,92,75.4
312,100,90
313,88,89.15
314,89,90.66
315,100,92.29
316,56,61.59
317,92,87.24
318,82,85.52
319,84,88.68
320,93,75.82
321,54,66.27
322,89,75.91
323,92,86.61
324,100,85.25
325,78,84.42
326,63,62.52
327,100,87.14
328,85,84.44
329,92,85.26
330,89,79.7
331,93,91.94
332,88,79.89
333,89,90.61
334,93,90.05
335,96,95.56
336,81,78.57
337,85,81.73
338,85,84.38
339,70,74.77
340,74,77.46
341,92,90.41
342,73,79.27
343,89,87.13
344,89,81.01
345,82,79.57
346,92,83.28
347,73,80.38
348,82,86.59
349,92,89.87
350,89,90.37
351,96,74.62
352,89,87.77
353,100,82.44
354,96,80.93
355,96,92.78
356,82,86.29
357,81,80.72
358,92,91.77
359,78,78.54
360,75,82.02
361,85,76.65
362,92,94.32
363,85,89.01
364,81,63.89
365,89,87.47
366,89,79.14
367,100,94.59
368,100,99.32
369,93,90.74
370,92,75.72
371,96,84.2
372,96,91.53
373,92,83.75
374,90,91.2
375,86,88.76
376,73,78.76
377,96,91.47
378,96,95.21
379,92,91.09
380,89,90.72
381,86,88.99
382,96,85.11
383,85,76.15
384,89,83.36
385,86,89.35
386,70,67.78
387,89,85.97
388,96,86.97
389,82,84.96
390,85,83.63
391,92,93.85
392,85,80.39
393,89,84.98
394,96,85.19
395,85,85.9
396,96,88.94
397,69,76.49
398,67,75.33
399,89,83.38
400,81,81.63
401,77,69.6
402,85,84.9
403,89,87.25
404,58,69.95
405,85,84.51
406,93,91.63
407,89,81.63
408,96,96.18
409,96,89.89
410,100,80.95
411,100,99.64
412,89,90.92
413,81,83.63
414,89,86.97
415,89,81.54
416,89,86.56
417,92,93
418,92,77.14
419,89,88.72
420,89,80.1
421,96,84.82
422,85,82.19
423,81,74.33
424,100,92.23
425,89,89.65
426,62,62.93
427,96,93.98
428,89,80.93
429,96,97.08
430,86,89.44
431,89,90.87
432,85,89
433,96,93.89
434,89,85.81
435,100,97.18
436,86,76.91
437,93,92.86
438,89,90.41
439,78,82.73
440,93,81.49
441,89,92.06
442,79,27.74
443,96,90.8
444,92,90.16
445,85,28.49
446,74,80.42
447,89,83.09
448,89,86.63
449,96,80.21
450,96,81.73
451,82,86.77
452,89,79.9
453,93,92.71
454,89,90.4
455,85,88.44
456,92,91.32
457,81,84.63
458,70,77.03
459,89,79.11
460,89,76.08
461,89,91.22
462,100,99.66
463,85,88.98
464,93,90.28
465,85,88.02
466,93,94.08
467,93,94.45
468,89,89.66
469,100,89.84
470,81,83.74
471,89,91.67
472,85,86.46
473,85,84.45
474,88,89.23
475,66,74.49
476,77,82.37
477,89,87.17
478,96,95.92
479,85,85.04
480,89,87.03
481,89,91.18
482,92,93.3
483,81,78.77
484,74,77.83
485,86,84.37
486,100,92.32
487,81,82.58
488,89,28.86
489,89,90.3
490,74,81.4
491,73,78.49
492,85,86.57
493,100,95.23
494,89,90.33
495,82,82.63
496,96,82.83
497,85,80.93
498,59,69.1
499,89,78.2
500,92,88.06
501,100,94.91
502,93,90.02
503,81,85.08
504,89,91.4
505,89,88.79
506,100,78.81
507,100,99.39
508,82,80.42
509,89,82.82
510,93,94
511,92,88.19
512,65,67.36
513,89,87.77
514,89,91.52
515,86,84.15
516,86,83.4
517,89,79.52
518,85,79.72
519,85,86.23
520,51,64.34
521,85,83.46
522,81,85.28
523,96,95.93
524,96,94.11
525,100,91.64
526,89,89.38
527,96,78.89
528,86,70.89
529,100,86.87
530,89,91.82
531,85,89.05
532,89,87.55
533,92,93.67
534,96,89.48
535,93,94.56
536,96,91
537,70,74.23
538,89,78.02
539,96,79.62
540,85,82.42
541,85,80.65
542,85,87.64
543,70,69.83
544,93,87.58
545,82,86.08
546,89,91.77
547,78,80.1
548,85,81.34
549,82,77.27
550,100,90.7
551,89,70.07
552,89,87.59
553,62,65.61
554,81,78.16
555,96,90.28
556,96,69
557,90,88.21
558,100,98.83
559,96,90.66
560,82,82.98
561,96,76.94
562,96,93.19
563,85,85.94
564,89,83.89
565,89,87.64
566,96,82.78
567,70,73.16
568,81,84.78
569,97,97.46
570,96,88.68
571,93,87.93
572,96,90.36
573,89,81.45
574,89,78.04
575,92,90.42
576,93,88.66
577,73,76.5
578,85,85.32
579,100,86.13
580,89,78.07
581,89,92.15
582,92,86.14
583,77,75.9
584,100,95.19
585,93,90.07
586,96,90.16
587,85,85.3
588,70,76.93
589,96,82.64
590,89,91.09
591,52,65.78
592,85,89.02
593,58,67.06
594,81,76.89
595,88,86.29
596,100,73.82
597,85,84.04
598,96,89.74
599,93,90.19
600,81,86.49
601,78,73.88
602,97,93.21
603,96,94.38
604,89,90.56
605,100,99.66
606,92,90.91
607,92,81
608,84,87.42
609,100,89.23
610,81,86.06
611,85,85.56
612,81,79.93
613,96,95.54
614,96,95.49
615,89,79.27
616,89,80.55
617,86,86.23
618,78,81.13
619,93,86.11
620,89,92.15
621,89,76.2
622,89,83.93
623,85,79.63
624,100,91.73
625,96,83.85
626,89,90.28
627,74,80.86
628,89,84.5
629,100,82.32
630,69,74.57
631,96,80.16
632,89,80.47
633,89,85.84
634,96,90.86
635,100,90.97
636,96,92.52
637,89,83.72
638,85,78.26
639,93,89.56
640,100,92.13
641,77,67.49
642,81,81.97
643,92,77.64
644,89,75.15
645,70,71.84
646,82,82.77
647,96,91.73
648,88,91.42
649,96,88.1
650,89,90.44
651,97,84.21
652,96,96.99
653,85,84.04
654,96,88.19
655,88,83.03
656,92,94.25
657,89,81.21
658,44,55.8
659,85,82.83
660,89,91.76
661,92,92.35
662,92,91.47
663,85,72.67
664,89,75.83
665,92,91.15
666,81,83.68
667,89,88.93
668,89,81.44
669,73,79.13
670,96,92.75
671,82,85.4
672,96,96.3
673,89,76.5
674,89,77.33
675,85,88.43
676,86,76.73
677,85,83.23
678,82,82.84
679,89,90.84
680,85,77.15
681,89,79.18
682,81,86.25
683,100,85.32
684,79,27.74
685,89,83.04
686,96,84.46
687,55,63.53
688,89,80.88
689,96,94.91
690,96,94.89
691,85,84.14
692,96,92.56
693,100,85.07
694,89,91.38
695,88,81.41
696,89,85.8
697,96,95.22
698,96,88.27
699,89,92.17
700,89,88.46
701,88,90.46
702,93,92.24
703,85,83.87
704,82,85.38
705,89,91.82
706,89,88
707,82,80.63
708,89,88.87
709,85,75.32
710,94,95.66
711,85,76.04
712,85,88.84
713,92,82.44
714,86,75.02
715,81,73.95
716,59,68.55
717,81,81.12
718,81,83.82
719,89,79.89
720,85,87.31
721,89,88.37
722,89,83.1
723,78,83.11
724,63,70.09
725,92,93.09
726,85,79.03
727,89,91.72
728,89,69.51
729,59,60.38
730,97,84.49
731,81,84.71
732,81,83.02
733,96,91.86
734,89,87.12
735,63,72.37
736,86,87.45
737,66,75.91
738,89,90.41
739,85,80.99
740,96,83.57
741,92,93.83
742,92,80.66
743,85,76.13
744,85,79.51
745,89,89.55
746,67,75.49
747,96,78.38
748,97,97.8
749,73,71.17
750,89,91.11
751,54,66.66
752,92,91.09
753,85,82.59
754,92,75.88
755,89,82.22
756,89,90.25
757,85,85.96
758,100,87.2
759,89,82.34
760,89,86.4
761,81,82.19
762,89,75.87
763,89,85.67
764,100,94.72
765,85,87.18
766,85,80.74
767,100,89.83
768,93,88.01
769,89,86.35
770,97,89.39
771,89,89.98
772,70,72.09
773,89,80.48
774,78,82.57
775,96,88.42
776,93,83.63
777,89,85.41
778,88,81.46
779,89,89.5
780,89,85.46
781,89,82.81
782,96,90.82
783,89,89.84
784,89,91.67
785,89,83.08
786,96,82.39
787,81,75.58
788,81,86.13
789,89,84.15
790,96,89.55
791,89,92.19
792,97,93.51
793,89,92.03
794,85,89.26
795,92,85.98
796,100,90.29
797,85,81.33
798,96,86.46
799,89,88.55
800,93,77.36
801,97,89.14
802,96,78.99
803,77,77.97
804,81,83.77
805,89,92.12
806,89,83.48
807,89,77.2
808,85,82.24
809,74,78.7
810,75,75.93
811,96,90.21
812,89,79.04
813,89,70.42
814,85,84.27
815,82,28.15
816,73,80.77
817,89,89.63
818,82,85.13
819,96,82.62
820,89,87.73
821,89,80.65
822,100,90.89
823,93,87.67
824,82,77.92
825,89,91.53
826,93,90.73
827,86,88.13
828,89,89.34
829,77,83.48
830,100,86.6
831,89,88.75
832,96,92.71
833,89,76.03
834,88,81.86
835,89,84.94
836,92,86.41
837,96,85.95
838,89,74.31
839,100,91.2
840,96,96.02
841,96,92.27
842,66,74.3
843,96,91.82
844,93,84.33
845,96,88.98
846,89,86.45
847,89,86.56
848,100,89.2
849,89,76.82
850,85,79.1
851,96,84.6
852,86,88.32
853,89,81.84
854,92,84.87
855,85,78.8
856,93,85.44
857,89,75.72
858,92,83.46
859,82,78.61
860,81,73.53
861,86,88.16
862,92,94.17
863,89,88.96
864,89,78.8
865,100,94.36
866,96,86.64
867,82,84.34
868,93,89.82
869,93,95.01
870,86,87.88
871,88,81.72
872,89,83.61
873,93,87.9
874,85,82.57
875,96,93.13
876,63,72.26
877,89,88.54
878,100,89.9
879,89,91.5
880,89,91.06
881,96,90.7
882,92,94.34
883,89,86.72
884,85,88.67
885,77,74.55
886,96,76.52
887,89,81.14
888,82,79.2
889,92,92.02
890,96,80.01
891,89,92.17
892,89,84.51
893,81,69.01
894,85,86.24
895,92,84.25
